Offense,Offense Conference,Defense,Defense Conference,Game Id,Id,Drive Number,Scoring,Start Period,Start Yardline,Start Yards To Goal,Start Time Minutes,Start Time Seconds,End Period,End Yardline,End Yards To Goal,End Time Minutes,End Time Seconds,Elapsed Minutes,Elapsed Seconds,Plays,Yards,Drive Result,Is Home Offense,Start Offense Score,Start Defense Score,End Offense Score,End Defense Score
BYU,Big 12,Baylor,Big 12,401636880,4016368805,5,TRUE,1,69,69,6,20,1,0,0,3,39,2,41,7,69,TD,FALSE,14,0,21,0
Baylor,Big 12,BYU,Big 12,401636880,4016368806,6,TRUE,1,20,80,3,33,1,100,0,0,3,3,30,8,80,TD,TRUE,0,21,7,21
BYU,Big 12,Baylor,Big 12,401636880,4016368807,7,TRUE,2,85,85,15,0,2,0,0,9,32,5,28,10,85,TD,FALSE,21,7,28,7
Baylor,Big 12,BYU,Big 12,401636880,4016368808,8,FALSE,2,25,75,9,32,2,28,72,7,24,2,8,5,3,PUNT,TRUE,7,28,7,28
BYU,Big 12,Baylor,Big 12,401636880,4016368809,9,FALSE,2,76,76,7,24,2,68,68,5,37,1,47,3,8,PUNT,FALSE,28,7,28,7
Baylor,Big 12,BYU,Big 12,401636880,40163688010,10,TRUE,2,43,57,5,37,2,100,0,2,10,3,27,7,57,TD,TRUE,7,28,14,28
BYU,Big 12,Baylor,Big 12,401636880,40163688011,11,TRUE,2,75,75,2,10,2,36,36,0,30,1,40,8,39,FG,FALSE,28,14,31,14
Baylor,Big 12,BYU,Big 12,401636880,40163688012,12,FALSE,2,25,75,0,30,2,67,33,0,0,0,30,5,42,MISSED FG,TRUE,14,31,14,31
Baylor,Big 12,BYU,Big 12,401636880,40163688013,13,TRUE,3,34,66,14,53,3,100,0,8,44,6,9,13,66,TD,TRUE,14,31,21,31
BYU,Big 12,Baylor,Big 12,401636880,40163688014,14,TRUE,3,65,65,8,44,3,19,19,3,33,5,11,13,46,FG,FALSE,31,21,34,21
Baylor,Big 12,BYU,Big 12,401636880,40163688015,15,FALSE,3,22,78,3,25,3,17,83,2,56,0,29,3,-5,PUNT,TRUE,21,34,21,34
BYU,Big 12,Baylor,Big 12,401636880,40163688016,16,FALSE,3,63,63,2,56,3,61,61,2,6,0,50,3,2,INT,FALSE,34,21,34,21
Baylor,Big 12,BYU,Big 12,401636880,40163688017,17,FALSE,3,42,58,2,6,3,49,51,0,37,1,29,4,7,DOWNS,TRUE,21,34,21,34
BYU,Big 12,Baylor,Big 12,401636880,40163688018,18,FALSE,3,49,49,0,37,4,31,31,12,39,2,58,6,18,MISSED FG,FALSE,34,21,34,21
Baylor,Big 12,BYU,Big 12,401636880,40163688019,19,TRUE,4,32,68,12,39,4,100,0,10,7,2,32,6,68,TD,TRUE,21,34,28,34
BYU,Big 12,Baylor,Big 12,401636880,40163688020,20,FALSE,4,69,69,10,4,4,73,73,8,54,1,10,3,-4,PUNT,FALSE,34,28,34,28
Baylor,Big 12,BYU,Big 12,401636880,40163688021,21,FALSE,4,3,97,8,54,4,12,88,5,32,3,22,9,9,PUNT,TRUE,28,34,28,34
BYU,Big 12,Baylor,Big 12,401636880,40163688022,22,FALSE,4,62,62,5,32,4,54,54,4,1,1,31,3,8,INT,FALSE,34,28,34,28
Baylor,Big 12,BYU,Big 12,401636880,40163688023,23,FALSE,4,55,45,4,1,4,76,24,1,47,2,14,7,21,DOWNS,TRUE,28,34,28,34
BYU,Big 12,Baylor,Big 12,401636880,40163688024,24,FALSE,4,75,75,1,47,4,77,77,1,24,0,23,3,-2,PUNT,FALSE,34,28,34,28
Baylor,Big 12,BYU,Big 12,401636880,40163688025,25,FALSE,4,39,61,1,24,4,29,71,0,59,0,25,2,-10,INT,TRUE,28,34,28,34
BYU,Big 12,Baylor,Big 12,401636880,40163688026,26,FALSE,4,52,52,0,59,4,54,54,0,0,0,59,2,-2,END OF GAME,FALSE,34,28,34,28
Iowa State,Big 12,Baylor,Big 12,401636889,4016368891,1,FALSE,1,25,75,15,0,1,84,16,9,16,5,44,13,59,DOWNS,TRUE,0,0,0,0
Baylor,Big 12,Iowa State,Big 12,401636889,4016368892,2,TRUE,1,84,84,9,16,1,0,0,6,32,2,44,9,84,TD,FALSE,0,0,7,0
Iowa State,Big 12,Baylor,Big 12,401636889,4016368893,3,TRUE,1,25,75,6,32,1,73,27,3,19,3,13,7,48,FG,TRUE,0,7,3,7
Baylor,Big 12,Iowa State,Big 12,401636889,4016368894,4,TRUE,1,75,75,3,19,2,0,0,13,46,4,33,10,75,TD,FALSE,7,3,14,3
Iowa State,Big 12,Baylor,Big 12,401636889,4016368895,5,TRUE,2,50,50,13,46,2,80,20,10,34,3,12,8,30,FG,TRUE,3,14,6,14
Baylor,Big 12,Iowa State,Big 12,401636889,4016368896,6,FALSE,2,75,75,10,34,2,59,59,8,37,1,57,5,16,PUNT,FALSE,14,6,14,6
Iowa State,Big 12,Baylor,Big 12,401636889,4016368897,7,TRUE,2,16,84,8,37,2,100,0,6,10,2,27,5,84,TD,TRUE,6,14,12,14
Baylor,Big 12,Iowa State,Big 12,401636889,4016368898,8,TRUE,2,75,75,6,10,2,62,62,4,46,1,24,5,13,PUNT TD,FALSE,14,12,14,19
Baylor,Big 12,Iowa State,Big 12,401636889,4016368899,9,FALSE,2,75,75,4,46,2,35,35,1,18,3,28,8,40,DOWNS,FALSE,14,19,14,19
Iowa State,Big 12,Baylor,Big 12,401636889,40163688910,10,FALSE,2,36,64,1,18,2,95,5,0,27,0,51,3,59,INT,TRUE,19,14,19,14
Baylor,Big 12,Iowa State,Big 12,401636889,40163688911,11,FALSE,2,89,89,0,27,2,78,78,0,0,0,27,1,11,END OF HALF,FALSE,14,19,14,19
Baylor,Big 12,Iowa State,Big 12,401636889,40163688912,12,TRUE,3,65,65,15,0,3,0,0,12,55,2,5,7,65,TD,FALSE,14,19,21,19
Iowa State,Big 12,Baylor,Big 12,401636889,40163688913,13,TRUE,3,25,75,12,55,3,100,0,10,33,2,22,5,75,TD,TRUE,19,21,26,21
Baylor,Big 12,Iowa State,Big 12,401636889,40163688914,14,FALSE,3,81,81,10,26,3,26,26,6,48,3,38,10,55,INT,FALSE,21,26,21,26
Iowa State,Big 12,Baylor,Big 12,401636889,40163688915,15,TRUE,3,20,80,6,48,3,100,0,0,40,6,8,13,80,TD,TRUE,26,21,33,21
Baylor,Big 12,Iowa State,Big 12,401636889,40163688916,16,FALSE,3,75,75,0,40,4,66,66,14,12,1,28,3,9,PUNT,FALSE,21,33,21,33
Iowa State,Big 12,Baylor,Big 12,401636889,40163688917,17,TRUE,4,24,76,14,12,4,100,0,11,31,2,41,5,76,TD,TRUE,33,21,40,21
Baylor,Big 12,Iowa State,Big 12,401636889,40163688918,18,FALSE,4,84,84,11,23,4,78,78,10,27,0,56,3,6,PUNT,FALSE,21,40,21,40
Iowa State,Big 12,Baylor,Big 12,401636889,40163688919,19,TRUE,4,24,76,10,27,4,97,3,2,16,8,11,12,73,FG,TRUE,40,21,43,21
Baylor,Big 12,Iowa State,Big 12,401636889,40163688920,20,FALSE,4,75,75,2,16,4,67,67,1,5,1,11,3,8,PUNT,FALSE,21,43,21,43
Iowa State,Big 12,Baylor,Big 12,401636889,40163688921,21,FALSE,4,19,81,1,5,4,26,74,0,0,1,5,2,7,END OF GAME,TRUE,43,21,43,21
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366132,2,TRUE,1,29,71,14,6,1,100,0,10,38,3,28,10,71,TD,TRUE,0,0,7,0
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366134,4,TRUE,1,83,17,8,42,1,100,0,8,18,0,24,2,17,TD,TRUE,7,0,15,0
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366136,6,TRUE,1,25,75,3,42,1,100,0,1,34,2,8,6,75,TD,TRUE,15,7,22,7
Texas Tech,Big 12,Abilene Christian,UAC,401636613,4016366138,8,TRUE,2,74,26,11,36,2,79,21,9,58,1,38,4,5,FG,TRUE,22,13,25,14
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661310,10,TRUE,2,30,70,6,46,2,100,0,2,55,3,51,9,70,TD,TRUE,25,14,32,14
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661312,12,FALSE,2,25,75,1,50,2,38,62,0,32,1,18,4,13,PUNT,TRUE,32,21,32,21
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661314,14,FALSE,3,29,71,14,54,3,96,4,9,37,5,17,13,67,DOWNS,TRUE,32,21,32,21
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661316,16,TRUE,3,65,35,4,57,3,100,0,4,50,0,7,1,35,TD,TRUE,32,28,39,28
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661318,18,FALSE,3,42,58,0,11,4,62,38,13,19,1,52,5,20,DOWNS,TRUE,39,28,39,28
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661320,20,TRUE,4,25,75,11,45,4,77,23,8,32,3,13,9,52,FG,TRUE,39,35,42,35
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661322,22,TRUE,4,33,67,4,52,4,87,13,2,39,2,13,9,54,FG,TRUE,42,42,45,42
Texas Tech,Big 12,Abilene Christian,UAC,401636613,40163661324,24,TRUE,5,75,25,0,0,5,100,0,0,0,0,0,5,25,TD,TRUE,45,45,52,45
